Town,zipcode,eohhs,eohhs_name,town_population
Malden,2148,3,Northeast,60470
Bourne,2559,5,Southeast,19762
Millville,1529,2,Central,3257
Plainfield,1070,1,Western,661
Canton,2021,4,Metro West,23805
Kingston,2364,5,Southeast,13863
Holliston,1746,4,Metro West,14912
Bellingham,2019,2,Central,17270
Boylston,1505,2,Central,4712
Northborough,1532,4,Metro West,15109
Wellesley,2482,4,Metro West,28670
Lynn,1905,3,Northeast,94299
Chelmsford,1863,3,Northeast,35391
Heath,1346,1,Western,695
Worcester,1603,2,Central,185428
Melrose,2176,3,Northeast,28016
Belmont,2478,4,Metro West,26116
Montague,1376,1,Western,8212
Northampton,1053,1,Western,28451
Avon,2322,5,Southeast,4549
Harvard,1434,2,Central,6620
Marblehead,1945,3,Northeast,20555
Hancock,1237,1,Western,696
Barnstable,2630,5,Southeast,44477
Falmouth,2556,5,Southeast,30993
Deerfield,1342,1,Western,4991
Hampden,1036,1,Western,5177
Dalton,1226,1,Western,6525
Freetown,2717,5,Southeast,9394
Wareham,2571,5,Southeast,22745
Bourne,2532,5,Southeast,19762
Berkley,2779,5,Southeast,6851
Scituate,2066,4,Metro West,18924
Brookfield,1506,2,Central,3452
Peabody,1960,3,Northeast,53070
Seekonk,2771,5,Southeast,15770
Russell,1071,1,Western,1792
North Attleborough,2760,5,Southeast,29364
Acushnet,2743,5,Southeast,10625
Chelmsford,1824,3,Northeast,35391
Stow,1775,4,Metro West,7234
Mendon,1756,2,Central,6223
Harwich,2645,5,Southeast,12142
Walpole,2081,4,Metro West,25200
Northampton,1062,1,Western,28451
Rowley,1969,3,Northeast,6473
Newbury,1951,3,Northeast,7148
Tyngsborough,1879,3,Northeast,12527
East Bridgewater,2333,5,Southeast,14526
West Springfield,1089,1,Western,28517
Framingham,1701,4,Metro West,74416
Sandwich,2563,5,Southeast,20169
Halifax,2338,5,Southeast,7896
Mattapoisett,2739,5,Southeast,6401
Weston,2493,4,Metro West,12124
Leicester,1524,2,Central,11341
Littleton,1460,4,Metro West,10227
Wilmington,1887,4,Metro West,23445
South Hadley,1075,1,Western,17625
Billerica,1821,3,Northeast,43367
Huntington,1050,1,Western,2169
Barnstable,2668,5,Southeast,44477
Freetown,2702,5,Southeast,9394
Sherborn,1770,4,Metro West,4335
Shirley,1464,2,Central,7636
Orleans,2653,5,Southeast,5788
Wayland,1778,4,Metro West,13835
Holden,1522,2,Central,19303
Natick,1760,4,Metro West,36050
Fall River,2720,5,Southeast,89541
West Bridgewater,2379,5,Southeast,7281
Hanover,2339,5,Southeast,14570
Paxton,1612,2,Central,4963
Milford,1757,2,Central,29101
Norfolk,2056,4,Metro West,12003
Hanson,2341,5,Southeast,10914
Salisbury,1952,3,Northeast,9534
Carlisle,1741,4,Metro West,5252
Southborough,1772,4,Metro West,10208
Dover,2030,4,Metro West,6127
Wales,1081,2,Central,1874
Plympton,2367,5,Southeast,2987
Sunderland,1375,1,Western,3629
Stockbridge,1262,1,Western,1890
Hamilton,1982,3,Northeast,8051
Easton,2375,5,Southeast,25105
Beverly,1915,3,Northeast,42174
West Boylston,1583,2,Central,8077
Medfield,2052,4,Metro West,12955
Gill,1354,1,Western,1465
Dunstable,1827,3,Northeast,3403
Chesterfield,1012,1,Western,1249
Auburn,1501,2,Central,16766
Stoughton,2072,5,Southeast,28915
Millbury,1527,2,Central,13947
East Longmeadow,1028,1,Western,16192
Woburn,1801,4,Metro West,40228
Holland,1521,2,Central,2482
Ashland,1721,4,Metro West,17807
Northampton,1060,1,Western,28451
Brockton,2301,5,Southeast,95708
Chicopee,1020,1,Western,55126
Fairhaven,2719,5,Southeast,16078
Middleton,1949,3,Northeast,10110
Webster,1570,2,Central,16949
Erving,1344,1,Western,1750
Braintree,2184,4,Metro West,37190
Haverhill,1830,3,Northeast,64014
Richmond,1254,1,Western,1416
Easton,2356,5,Southeast,25105
Eastham,2642,5,Southeast,4906
Lincoln,1773,4,Metro West,7052
West Newbury,1985,3,Northeast,4714
Chester,1011,1,Western,1369
Danvers,1923,3,Northeast,27549
Essex,1929,3,Northeast,3799
Truro,2666,5,Southeast,2008
North Reading,1864,3,Northeast,15865
Gosnold,2713,5,Southeast,75
Marion,2738,5,Southeast,5188
Tyringham,1264,1,Western,312
Bedford,1730,4,Metro West,14123
Milton,2186,4,Metro West,27593
Amesbury,1913,3,Northeast,17532
Georgetown,1833,3,Northeast,8768
Agawam,1001,1,Western,28613
Falmouth,2540,5,Southeast,30993
Agawam,1030,1,Western,28613
Quincy,2169,4,Metro West,94470
Sandwich,2537,5,Southeast,20169
Millis,2054,4,Metro West,8310
Hudson,1749,4,Metro West,19864
Burlington,1803,4,Metro West,28627
Chatham,2633,5,Southeast,5982
Haverhill,1832,3,Northeast,64014
Hinsdale,1235,1,Western,1911
Townsend,1474,2,Central,9506
Plainville,2762,4,Metro West,9293
Topsfield,1983,3,Northeast,6641
Nantucket,2564,5,Southeast,11399
Medway,2053,2,Central,13479
Templeton,1436,2,Central,8138
Dighton,2764,5,Southeast,7967
Saugus,1906,3,Northeast,28361
Blackstone,1504,2,Central,9288
Westwood,2090,4,Metro West,16400
Dighton,2715,5,Southeast,7967
Grafton,1519,2,Central,18883
Randolph,2368,4,Metro West,34362
Sturbridge,1518,2,Central,9597
Williamsburg,1039,1,Western,2466
Florida,1343,1,Western,715
Norwood,2062,4,Metro West,29725
Taunton,2718,5,Southeast,57464
Grafton,1536,2,Central,18883
Ayer,1432,2,Central,8196
Brockton,2302,5,Southeast,95708
Hatfield,1038,1,Western,3251
Boxborough,1719,4,Metro West,5793
New Bedford,2745,5,Southeast,95363
Lynnfield,1940,3,Northeast,12999
Cohasset,2025,4,Metro West,8548
East Brookfield,1515,2,Central,2210
Williamsburg,1039,1,Western,2466
Abington,2351,5,Southeast,16668
Rockland,2370,5,Southeast,17986
Provincetown,2657,5,Southeast,2961
Reading,1867,3,Northeast,25400
Northbridge,1534,2,Central,16679
Yarmouth,2673,5,Southeast,23203
Lexington,2421,4,Metro West,33132
Longmeadow,1106,1,Western,15705
Wareham,2576,5,Southeast,22745
Dennis,2660,5,Southeast,13871
Groveland,1834,3,Northeast,6849
Needham,2492,4,Metro West,31388
Barnstable,2648,5,Southeast,44477
Barnstable,2601,5,Southeast,44477
Williamsburg,1096,1,Western,2466
Billerica,1862,3,Northeast,43367
Ware,1082,1,Western,9711
Great Barrington,1236,1,Western,6945
Newburyport,1950,3,Northeast,18289
Weymouth,2188,4,Metro West,57746
North Adams,1247,1,Western,12730
Blandford,1008,1,Western,1252
Salem,1970,3,Northeast,43226
Wenham,1984,3,Northeast,5278
Haverhill,1835,3,Northeast,64014
Northbridge,1588,2,Central,16679
Manchester,1944,3,Northeast,5434
Montague,1347,1,Western,8212
Taunton,2718,5,Southeast,57464
Malden,2148,3,Northeast,60470
Ayer,1432,2,Central,8196
Lynn,1904,3,Northeast,94299
Chesterfield,1084,1,Western,1249
Leicester,1542,2,Central,11341
Weymouth,2189,4,Metro West,57746
Springfield,1108,1,Western,153606
Watertown,2472,4,Metro West,35939
Lowell,1854,3,Northeast,110997
Framingham,1702,4,Metro West,74416
Yarmouth,2675,5,Southeast,23203
Newbury,1922,3,Northeast,7148
Merrimac,1860,3,Northeast,6960
Medford,2155,3,Northeast,57341
