zipcode,SVI_SES,SVI_SES_quartile
01001,0.283452461007916,2
01002,0.5851184614007208,3
01003,0.9507,4
01005,0.2816,2
01007,0.17358343689450123,1
01008,0.2867,2
01009,0.172,1
01010,0.3071,2
01011,0.2527065200467108,2
01012,0.45470000000000005,2
01013,0.6769871345029238,3
01020,0.5246534016076493,3
01022,0.5113397128419026,3
01026,0.1757,1
01027,0.2804324013895114,2
01028,0.1879568765432099,1
01029,0.3433,2
01030,0.23964395462748134,1
01031,0.5232,3
01032,0.2384,1
01033,0.14,1
01034,0.2867,2
01035,0.0828,1
01036,0.3058,2
01037,0.5232,3
01038,0.0902,1
01039,0.22398310512880018,1
01040,0.6937128442639191,3
01050,0.27745322263491373,2
01053,0.45619999999999994,2
01054,0.2091,1
01056,0.4524075459317585,2
01057,0.377952351223894,2
01060,0.4232123247616759,2
01062,0.5051975828974763,3
01063,0.4088,2
01066,0.0902,1
01068,0.23809999999999998,1
01069,0.4002823458698266,2
01070,0.1757,1
01071,0.2867,2
01072,0.2091,1
01073,0.1688,1
01074,0.2816,2
01075,0.3216731075697211,2
01077,0.24824795928857818,1
01079,0.172,1
01080,0.7093000000000002,3
01081,0.3692,2
01082,0.5359506390791611,3
01083,0.2345,1
01084,0.45470000000000005,2
01085,0.36699432974880963,2
01086,0.1942,1
01088,0.0902,1
01089,0.4875676027349473,2
01092,0.2345,1
01093,0.21399999999999997,1
01094,0.5232,3
01095,0.19190589753445722,1
01096,0.29844640442532266,2
01097,0.2867,2
01098,0.1757,1
01103,0.9479294494804335,4
01104,0.8627784269518166,4
01105,0.9586849378088261,4
01106,0.2882203163460662,2
01107,0.9352283015635039,4
01108,0.8745959334398457,4
01109,0.8705446759323733,4
01118,0.4694396146435453,2
01119,0.7254452890016306,3
01128,0.5015203203203203,3
01129,0.5592990195175842,3
01151,0.8644632239983392,4
01199,0.8254,4
01201,0.41252796534060676,2
01220,0.48105453984485197,2
01222,0.17220000000000002,1
01223,0.2807,2
01224,0.35070000000000007,2
01225,0.3875,2
01226,0.2142376962323391,1
01229,0.3236,2
01230,0.2579438402309914,2
01235,0.2513468755235383,2
01236,0.3307263642735557,2
01237,0.23827277716794734,1
01238,0.3539695798319328,2
01240,0.2844422753460036,2
01242,0.1626,1
01243,0.1757,1
01244,0.1724,1
01245,0.284172927276431,2
01247,0.6607849054293934,3
01253,0.3433,2
01254,0.12300150041678244,1
01255,0.3433,2
01256,0.557,3
01257,0.17220000000000002,1
01258,0.0794,1
01259,0.1724,1
01260,0.36418860103626943,2
01262,0.3236,2
01264,0.2885,2
01266,0.19427844998022933,1
01267,0.3139390317848411,2
01270,0.2161,1
01301,0.3949166552087629,2
01330,0.0821,1
01331,0.5731626994952941,3
01337,0.2146,1
01338,0.4726,2
01339,0.4618944584989761,2
01340,0.4529,2
01341,0.0821,1
01342,0.22690000000000002,1
01343,0.557,3
