date,Town,Count,fullvax.total,vaccine_prev,cumulative_incidence,population,SVI_SES,SVI_ages_disability,SVI_minority,SVI_house,SVI_overall
2021-04-01,Abington,1560,2999,16.45610638947397,8.560028665414936,18224.238036758736,0.42780821175687883,0.37585349047189087,0.47559806586513326,0.22948146652093335,0.34334214228009313
2021-04-01,Acton,833,4137,17.435259137661095,3.5106528551297296,23727.78039796299,0.14587228169570804,0.24382147962712866,0.6526991995783786,0.4909361079086927,0.33909172238874796
2021-04-01,Acushnet,1218,1990,19.044371489261813,11.65630375573914,10449.281569213577,0.6490189376443417,0.6724595987297922,0.45451990473441106,0.6054047416281756,0.662546470842956
2021-04-01,Adams,276,1842,22.388508131033735,3.354629882825902,8227.435205683578,0.676132616361072,0.6673823871650211,0.12537150035260933,0.3887453455571227,0.5196306241184767
2021-04-01,Agawam,2380,5089,17.85854367290318,8.352001167520056,28496.16459891718,0.4718281989624385,0.590416614343286,0.3138469396388573,0.35542334290739874,0.4227385500857213
2021-04-01,Amesbury,996,3115,18.76729161047175,6.000713465178127,16598.02631436651,0.37007689607549776,0.6695881401772356,0.14727651053055585,0.49642898492346643,0.41872763839337096
2021-04-01,Amherst,2521,4497,10.838029646823216,6.075755556958267,41492.78186665725,0.7371192930377893,0.1999688409335026,0.4024739068450346,0.6257038902450932,0.5353010584903818
2021-04-01,Andover,2478,7331,20.32772260774896,6.8711085284411295,36064.04977803766,0.12100089303266029,0.3389176893481985,0.44498331882389286,0.32540831250526553,0.22199195708949984
2021-04-01,Arlington,1733,9024,19.691386771798697,3.781601648440508,45827.14312901441,0.19773934534302132,0.3605394427963369,0.5508986112902532,0.547208021267753,0.3927953494704559
2021-04-01,Ashburnham,369,998,15.875243400869966,5.869704223367753,6286.517786211136,0.5219787947773686,0.5793443321057918,0.0911174891195179,0.7061788617341813,0.5204444526280549
2021-04-01,Ashby,152,455,13.044628379719395,4.357765964213952,3488.025773945333,0.5058,0.1696,0.1135,0.1962,0.17980000000000002
2021-04-01,Ashfield,28,302,17.813204130362962,1.6515553498349764,1695.371578239734,0.1597,0.5294,0.0519,0.32849999999999996,0.186
2021-04-01,Ashland,1411,3710,18.83205636679422,7.162272650551656,19700.45080441501,0.1320693218024579,0.2484170573509331,0.5796625682749202,0.16186412152935822,0.17364379267182523
2021-04-01,Athol,694,2115,15.444030242019892,5.067686519130877,13694.611878222946,0.7489480561997,0.7546315032055654,0.18520049106533898,0.5693407720638385,0.6275264220433775
2021-04-01,Attleboro,3850,6710,14.424698946800765,8.276466608820112,46517.43530140157,0.5322648656013391,0.6006957471241996,0.3976765829067481,0.469535560659439,0.5106474278373591
2021-04-01,Auburn,1497,3575,21.68753112024145,9.081464080280126,16484.12620219078,0.3598584981662959,0.37490588588949675,0.18777683520711838,0.43533880839295375,0.31426935609932066
2021-04-01,Avon,466,791,18.075078931879887,10.648529433951994,4376.191124703058,0.5915,0.2585,0.6042,0.4451,0.536
2021-04-01,Ayer,791,1330,16.423357836908828,9.767575976687882,8098.2221370774805,0.2968,0.2907,0.2365,0.7497,0.407
2021-04-01,Barnstable,3781,11251,25.12925313889804,8.444912107205893,44772.52044782965,0.3941237899801868,0.5079804601259552,0.2282695761392584,0.3058591565242004,0.3018825298966884
2021-04-01,Barre,288,957,17.21183143348685,5.179736105375353,5560.128820098063,0.5147,0.3885,0.0328,0.7325,0.4612
2021-04-01,Becket,61,422,18.834698203529097,2.7225511621215044,2240.545590058507,0.5072,0.4945,0.1415,0.1447,0.2533
2021-04-01,Bedford,786,2831,18.880004155750196,5.241852089869181,14994.70008928878,0.20637953305033355,0.5254712431776835,0.4968172468162523,0.4615547422680413,0.3928912431776834
2021-04-01,Belchertown,798,2933,18.26918251940062,4.970612905039786,16054.358189729372,0.3436973742232912,0.37513937996926566,0.23336176922562973,0.36062455401884147,0.29143101489944545
2021-04-01,Bellingham,1059,2355,13.07089807152903,5.877741425795857,18017.12466207391,0.34498302773859896,0.2099654442877292,0.22681937000470145,0.16259304184297135,0.14919670897978374
2021-04-01,Belmont,1056,5511,20.106833877440184,3.8528064914855444,27408.59169370931,0.21595174903044964,0.44970484967169677,0.5828252966248129,0.27654846215873746,0.29743628230234614
2021-04-01,Berkley,644,1042,15.289648292616778,9.449648272980044,6815.0684702353265,0.11169999999999998,0.1471,0.0499,0.34359999999999996,0.0851
2021-04-01,Berlin,184,601,18.622894287675166,5.70151838424664,3227.210500774567,0.1953,0.3817,0.18729999999999997,0.3011,0.1908
2021-04-01,Bernardston,44,466,22.48443346951039,2.1229937181511955,2072.544992658636,0.4126,0.71,0.0854,0.7106,0.5024
2021-04-01,Beverly,3296,9069,22.08131887802073,8.025143568415077,41070.9163256869,0.37422065131437066,0.32426451319163213,0.25113591574608807,0.5198263640938391,0.36422173204572145
2021-04-01,Billerica,3472,7058,16.161163627723422,7.950065190628466,43672.59785608792,0.36084046245043777,0.331481639382876,0.36041724963687044,0.38829077847132254,0.32413292636647956
2021-04-01,Blackstone,573,1105,12.242455299985808,6.348350123884043,9025.967201213967,0.44769842093878437,0.2754286394116374,0.14042647631408176,0.31241431970581873,0.26102749296993294
2021-04-01,Blandford,54,173,14.309641423967198,4.466593276845252,1208.9750880147321,0.5284,0.3789,0.0807,0.3052,0.3157
2021-04-01,Bolton,197,960,18.990185053991375,3.896944224621147,5055.242996688051,0.0178,0.1614,0.1866,0.0645,0.011
2021-04-01,Bourne,1128,4834,22.991096704153545,5.36490630580993,21025.530283323522,0.3397455951438903,0.5471565744793806,0.2428522131960374,0.3591028207105867,0.32920538899962937
