Day of c_Calendar Date,c_SelectTrend,c_Census Net Difference,c_Census,c_COVID 19+ label %,c_COVID 19+ label,c_dynamictotallabel,t_Census % Difference Label,c_Census Exclude COVID Status
04/11/20,COVID-19,26,694,1,694,,3.9%,
04/10/20,COVID-19,65,668,1,668,,10.8%,
04/09/20,COVID-19,18,603,1,603,,3.1%,
04/08/20,COVID-19,48,585,1,585,,8.9%,
04/07/20,COVID-19,47,537,1,537,,9.6%,
04/06/20,COVID-19,49,490,1,490,,11.1%,
04/05/20,COVID-19,15,441,1,441,,3.5%,
04/04/20,COVID-19,24,426,1,426,,6.0%,
04/03/20,COVID-19,25,402,1,402,,6.6%,
04/02/20,COVID-19,52,377,1,377,,16.0%,
04/01/20,COVID-19,45,325,1,325,,16.1%,
03/31/20,COVID-19,26,280,1,280,,10.2%,
03/30/20,COVID-19,28,254,1,254,,12.4%,
03/29/20,COVID-19,18,226,1,226,,8.7%,
03/28/20,COVID-19,52,208,1,208,,33.3%,
03/27/20,COVID-19,35,156,1,156,,28.9%,
03/26/20,COVID-19,38,121,1,121,,45.8%,
03/25/20,COVID-19,25,83,1,83,,43.1%,
03/24/20,COVID-19,8,58,1,58,,16.0%,
03/23/20,COVID-19,7,50,1,50,,16.3%,
03/22/20,COVID-19,11,43,1,43,,34.4%,
03/21/20,COVID-19,8,32,1,32,,33.3%,
03/20/20,COVID-19,10,24,1,24,,71.4%,
03/19/20,COVID-19,3,14,1,14,,27.3%,
03/18/20,COVID-19,-1,11,1,11,,-8.3%,
03/17/20,COVID-19,3,12,1,12,,33.3%,
03/16/20,COVID-19,2,9,1,9,,28.6%,
03/15/20,COVID-19,1,7,1,7,,16.7%,
03/14/20,COVID-19,2,6,1,6,,50.0%,
03/13/20,COVID-19,3,4,1,4,,300.0%,
03/12/20,COVID-19,0,1,1,1,,0.0%,
03/11/20,COVID-19,0,1,1,1,,0.0%,
03/10/20,COVID-19,,1,1,1,,,
12/01/22,,,,,,136,,136
11/30/22,,,,,,134,,134
11/29/22,,,,,,137,,137
11/28/22,,,,,,131,,131
11/27/22,,,,,,119,,119
11/26/22,,,,,,106,,106
11/25/22,,,,,,98,,98
11/24/22,,,,,,102,,102
11/23/22,,,,,,84,,84
11/22/22,,,,,,85,,85
11/21/22,,,,,,86,,86
11/20/22,,,,,,100,,100
11/19/22,,,,,,89,,89
11/18/22,,,,,,98,,98
11/17/22,,,,,,112,,112
11/16/22,,,,,,108,,108
11/15/22,,,,,,106,,106
11/14/22,,,,,,110,,110
11/13/22,,,,,,111,,111
11/12/22,,,,,,108,,108
11/11/22,,,,,,98,,98
11/10/22,,,,,,98,,98
11/09/22,,,,,,98,,98
11/08/22,,,,,,102,,102
11/07/22,,,,,,98,,98
11/06/22,,,,,,99,,99
11/05/22,,,,,,93,,93
11/04/22,,,,,,89,,89
11/03/22,,,,,,105,,105
11/02/22,,,,,,104,,104
11/01/22,,,,,,103,,103
10/31/22,,,,,,104,,104
10/30/22,,,,,,115,,115
10/29/22,,,,,,117,,117
10/28/22,,,,,,113,,113
10/27/22,,,,,,104,,104
10/26/22,,,,,,103,,103
10/25/22,,,,,,116,,116
10/24/22,,,,,,133,,133
10/23/22,,,,,,129,,129
10/22/22,,,,,,136,,136
10/21/22,,,,,,143,,143
10/20/22,,,,,,159,,159
10/19/22,,,,,,163,,163
10/18/22,,,,,,172,,172
10/17/22,,,,,,179,,179
10/16/22,,,,,,171,,171
10/15/22,,,,,,158,,158
10/14/22,,,,,,156,,156
10/13/22,,,,,,153,,153
10/12/22,,,,,,148,,148
10/11/22,,,,,,157,,157
10/10/22,,,,,,144,,144
10/09/22,,,,,,139,,139
10/08/22,,,,,,124,,124
10/07/22,,,,,,120,,120
10/06/22,,,,,,125,,125
10/05/22,,,,,,124,,124
10/04/22,,,,,,114,,114
10/03/22,,,,,,130,,130
10/02/22,,,,,,130,,130
10/01/22,,,,,,115,,115
09/30/22,,,,,,113,,113
09/29/22,,,,,,125,,125
09/28/22,,,,,,125,,125
09/27/22,,,,,,130,,130
09/26/22,,,,,,119,,119
09/25/22,,,,,,114,,114
09/24/22,,,,,,109,,109
09/23/22,,,,,,108,,108
09/22/22,,,,,,114,,114
09/21/22,,,,,,118,,118
09/20/22,,,,,,113,,113
09/19/22,,,,,,102,,102
09/18/22,,,,,,104,,104
09/17/22,,,,,,100,,100
09/16/22,,,,,,102,,102
09/15/22,,,,,,94,,94
09/14/22,,,,,,95,,95
09/13/22,,,,,,100,,100
09/12/22,,,,,,109,,109
09/11/22,,,,,,102,,102
09/10/22,,,,,,105,,105
09/09/22,,,,,,109,,109
09/08/22,,,,,,110,,110
09/07/22,,,,,,106,,106
09/06/22,,,,,,124,,124
09/05/22,,,,,,119,,119
09/04/22,,,,,,125,,125
09/03/22,,,,,,118,,118
09/02/22,,,,,,123,,123
09/01/22,,,,,,120,,120
08/31/22,,,,,,121,,121
08/30/22,,,,,,124,,124
08/29/22,,,,,,129,,129
08/28/22,,,,,,121,,121
08/27/22,,,,,,119,,119
08/26/22,,,,,,120,,120
08/25/22,,,,,,124,,124
08/24/22,,,,,,119,,119
08/23/22,,,,,,122,,122
08/22/22,,,,,,127,,127
08/21/22,,,,,,126,,126
08/20/22,,,,,,117,,117
08/19/22,,,,,,118,,118
08/18/22,,,,,,117,,117
08/17/22,,,,,,124,,124
08/16/22,,,,,,116,,116
08/15/22,,,,,,114,,114
08/14/22,,,,,,120,,120
08/13/22,,,,,,116,,116
08/12/22,,,,,,118,,118
08/11/22,,,,,,119,,119
08/10/22,,,,,,119,,119
08/09/22,,,,,,118,,118
08/08/22,,,,,,127,,127
08/07/22,,,,,,125,,125
08/06/22,,,,,,118,,118
08/05/22,,,,,,108,,108
08/04/22,,,,,,113,,113
08/03/22,,,,,,125,,125
08/02/22,,,,,,121,,121
08/01/22,,,,,,111,,111
07/31/22,,,,,,115,,115
07/30/22,,,,,,106,,106
07/29/22,,,,,,111,,111
07/28/22,,,,,,114,,114
07/27/22,,,,,,110,,110
07/26/22,,,,,,110,,110
07/25/22,,,,,,111,,111
07/24/22,,,,,,110,,110
07/23/22,,,,,,107,,107
07/22/22,,,,,,116,,116
07/21/22,,,,,,118,,118
07/20/22,,,,,,121,,121
07/19/22,,,,,,133,,133
07/18/22,,,,,,140,,140
07/17/22,,,,,,139,,139
07/16/22,,,,,,131,,131
07/15/22,,,,,,118,,118
07/14/22,,,,,,122,,122
07/13/22,,,,,,124,,124
07/12/22,,,,,,126,,126
07/11/22,,,,,,131,,131
07/10/22,,,,,,124,,124
07/09/22,,,,,,114,,114
07/08/22,,,,,,110,,110
07/07/22,,,,,,119,,119
07/06/22,,,,,,119,,119
07/05/22,,,,,,121,,121
07/04/22,,,,,,114,,114
07/03/22,,,,,,114,,114
07/02/22,,,,,,108,,108
07/01/22,,,,,,102,,102
06/30/22,,,,,,104,,104
06/29/22,,,,,,107,,107
06/28/22,,,,,,102,,102
06/27/22,,,,,,104,,104
06/26/22,,,,,,106,,106
06/25/22,,,,,,107,,107
06/24/22,,,,,,105,,105
06/23/22,,,,,,117,,117
06/22/22,,,,,,97,,97
06/21/22,,,,,,99,,99
06/20/22,,,,,,96,,96
06/19/22,,,,,,91,,91
06/18/22,,,,,,93,,93
06/17/22,,,,,,92,,92
06/16/22,,,,,,102,,102
06/15/22,,,,,,100,,100
06/14/22,,,,,,108,,108
06/13/22,,,,,,116,,116
06/12/22,,,,,,117,,117
06/11/22,,,,,,127,,127
06/10/22,,,,,,124,,124
06/09/22,,,,,,128,,128
06/08/22,,,,,,117,,117
06/07/22,,,,,,112,,112
06/06/22,,,,,,126,,126
06/05/22,,,,,,134,,134
06/04/22,,,,,,137,,137
06/03/22,,,,,,132,,132
06/02/22,,,,,,132,,132
06/01/22,,,,,,134,,134
05/31/22,,,,,,140,,140
05/30/22,,,,,,143,,143
05/29/22,,,,,,131,,131
05/28/22,,,,,,127,,127
05/27/22,,,,,,127,,127
05/26/22,,,,,,148,,148
05/25/22,,,,,,162,,162
05/24/22,,,,,,175,,175
05/23/22,,,,,,184,,184
05/22/22,,,,,,177,,177
05/21/22,,,,,,171,,171
05/20/22,,,,,,171,,171
05/19/22,,,,,,176,,176
05/18/22,,,,,,189,,189
05/17/22,,,,,,190,,190
05/16/22,,,,,,186,,186
05/15/22,,,,,,192,,192
05/14/22,,,,,,192,,192
05/13/22,,,,,,179,,179
05/12/22,,,,,,188,,188
05/11/22,,,,,,187,,187
05/10/22,,,,,,190,,190
05/09/22,,,,,,182,,182
05/08/22,,,,,,180,,180
05/07/22,,,,,,176,,176
05/06/22,,,,,,167,,167
05/05/22,,,,,,152,,152
05/04/22,,,,,,136,,136
05/03/22,,,,,,126,,126
05/02/22,,,,,,114,,114
05/01/22,,,,,,107,,107
04/30/22,,,,,,95,,95
04/29/22,,,,,,87,,87
04/28/22,,,,,,87,,87
04/27/22,,,,,,78,,78
04/26/22,,,,,,72,,72
04/25/22,,,,,,76,,76
04/24/22,,,,,,80,,80
04/23/22,,,,,,84,,84
04/22/22,,,,,,78,,78
04/21/22,,,,,,76,,76
04/20/22,,,,,,81,,81
04/19/22,,,,,,69,,69
04/18/22,,,,,,70,,70
04/17/22,,,,,,54,,54
04/16/22,,,,,,54,,54
04/15/22,,,,,,56,,56
04/14/22,,,,,,53,,53
04/13/22,,,,,,58,,58
04/12/22,,,,,,59,,59
04/11/22,,,,,,54,,54
04/10/22,,,,,,49,,49
04/09/22,,,,,,48,,48
04/08/22,,,,,,51,,51
04/07/22,,,,,,51,,51
04/06/22,,,,,,54,,54
04/05/22,,,,,,50,,50
04/04/22,,,,,,56,,56
04/03/22,,,,,,68,,68
04/02/22,,,,,,61,,61
04/01/22,,,,,,49,,49
03/31/22,,,,,,53,,53
03/30/22,,,,,,51,,51
03/29/22,,,,,,49,,49
03/28/22,,,,,,48,,48
03/27/22,,,,,,43,,43
03/26/22,,,,,,40,,40
03/25/22,,,,,,37,,37
03/24/22,,,,,,40,,40
03/23/22,,,,,,40,,40
03/22/22,,,,,,47,,47
03/21/22,,,,,,41,,41
03/20/22,,,,,,42,,42
03/19/22,,,,,,41,,41
03/18/22,,,,,,38,,38
03/17/22,,,,,,36,,36
03/16/22,,,,,,49,,49
03/15/22,,,,,,43,,43
03/14/22,,,,,,40,,40
03/13/22,,,,,,41,,41
03/12/22,,,,,,47,,47
03/11/22,,,,,,43,,43
03/10/22,,,,,,39,,39
03/09/22,,,,,,47,,47
03/08/22,,,,,,49,,49
03/07/22,,,,,,41,,41
03/06/22,,,,,,47,,47
03/05/22,,,,,,56,,56
03/04/22,,,,,,55,,55
03/03/22,,,,,,49,,49
03/02/22,,,,,,59,,59
03/01/22,,,,,,71,,71
02/28/22,,,,,,79,,79
02/27/22,,,,,,78,,78
02/26/22,,,,,,80,,80
02/25/22,,,,,,76,,76
02/24/22,,,,,,84,,84
02/23/22,,,,,,95,,95
02/22/22,,,,,,99,,99
02/21/22,,,,,,97,,97
02/20/22,,,,,,97,,97
02/19/22,,,,,,108,,108
02/18/22,,,,,,110,,110
02/17/22,,,,,,108,,108
02/16/22,,,,,,114,,114
02/15/22,,,,,,128,,128
02/14/22,,,,,,139,,139
02/13/22,,,,,,151,,151
02/12/22,,,,,,150,,150
02/11/22,,,,,,165,,165
02/10/22,,,,,,192,,192
02/09/22,,,,,,194,,194
02/08/22,,,,,,220,,220
02/07/22,,,,,,257,,257
02/06/22,,,,,,253,,253
02/05/22,,,,,,259,,259
02/04/22,,,,,,276,,276
02/03/22,,,,,,275,,275
02/02/22,,,,,,308,,308
02/01/22,,,,,,325,,325
01/31/22,,,,,,345,,345
01/30/22,,,,,,379,,379
01/29/22,,,,,,397,,397
01/28/22,,,,,,364,,364
01/27/22,,,,,,404,,404
01/26/22,,,,,,438,,438
01/25/22,,,,,,470,,470
01/24/22,,,,,,487,,487
01/23/22,,,,,,493,,493
01/22/22,,,,,,503,,503
01/21/22,,,,,,496,,496
01/20/22,,,,,,543,,543
01/19/22,,,,,,582,,582
01/18/22,,,,,,590,,590
01/17/22,,,,,,585,,585
01/16/22,,,,,,593,,593
01/15/22,,,,,,589,,589
01/14/22,,,,,,595,,595
01/13/22,,,,,,603,,603
01/12/22,,,,,,591,,591
01/11/22,,,,,,589,,589
01/10/22,,,,,,587,,587
01/09/22,,,,,,564,,564
01/08/22,,,,,,544,,544
01/07/22,,,,,,514,,514
01/06/22,,,,,,496,,496
01/05/22,,,,,,480,,480
01/04/22,,,,,,477,,477
01/03/22,,,,,,440,,440
01/02/22,,,,,,439,,439
01/01/22,,,,,,395,,395
12/31/21,,,,,,373,,373
12/30/21,,,,,,368,,368
12/29/21,,,,,,362,,362
12/28/21,,,,,,330,,330
12/27/21,,,,,,301,,301
12/26/21,,,,,,278,,278
12/25/21,,,,,,263,,263
12/24/21,,,,,,257,,257
12/23/21,,,,,,255,,255
12/22/21,,,,,,279,,279
12/21/21,,,,,,275,,275
12/20/21,,,,,,270,,270
12/19/21,,,,,,277,,277
12/18/21,,,,,,264,,264
12/17/21,,,,,,247,,247
12/16/21,,,,,,241,,241
12/15/21,,,,,,248,,248
12/14/21,,,,,,246,,246
12/13/21,,,,,,239,,239
12/12/21,,,,,,230,,230
12/11/21,,,,,,232,,232
12/10/21,,,,,,212,,212
12/09/21,,,,,,203,,203
12/08/21,,,,,,199,,199
12/07/21,,,,,,210,,210
12/06/21,,,,,,208,,208
12/05/21,,,,,,185,,185
12/04/21,,,,,,174,,174
12/03/21,,,,,,159,,159
12/02/21,,,,,,152,,152
12/01/21,,,,,,147,,147
11/30/21,,,,,,140,,140
11/29/21,,,,,,151,,151
11/28/21,,,,,,151,,151
11/27/21,,,,,,144,,144
11/26/21,,,,,,136,,136
11/25/21,,,,,,142,,142
11/24/21,,,,,,144,,144
11/23/21,,,,,,145,,145
11/22/21,,,,,,150,,150
11/21/21,,,,,,141,,141
11/20/21,,,,,,135,,135
11/19/21,,,,,,128,,128
11/18/21,,,,,,140,,140
11/17/21,,,,,,118,,118
11/16/21,,,,,,127,,127
11/15/21,,,,,,123,,123
11/14/21,,,,,,122,,122
11/13/21,,,,,,105,,105
11/12/21,,,,,,101,,101
11/11/21,,,,,,100,,100
11/10/21,,,,,,95,,95
11/09/21,,,,,,97,,97
11/08/21,,,,,,95,,95
11/07/21,,,,,,91,,91
11/06/21,,,,,,87,,87
11/05/21,,,,,,91,,91
11/04/21,,,,,,92,,92
11/03/21,,,,,,86,,86
11/02/21,,,,,,83,,83
11/01/21,,,,,,84,,84
10/31/21,,,,,,82,,82
10/30/21,,,,,,79,,79
10/29/21,,,,,,78,,78
10/28/21,,,,,,80,,80
10/27/21,,,,,,80,,80
10/26/21,,,,,,82,,82
10/25/21,,,,,,79,,79
10/24/21,,,,,,86,,86
10/23/21,,,,,,81,,81
10/22/21,,,,,,84,,84
10/21/21,,,,,,92,,92
10/20/21,,,,,,91,,91
10/19/21,,,,,,85,,85
10/18/21,,,,,,101,,101
10/17/21,,,,,,106,,106
10/16/21,,,,,,106,,106
10/15/21,,,,,,103,,103
10/14/21,,,,,,98,,98
10/13/21,,,,,,95,,95
10/12/21,,,,,,91,,91
10/11/21,,,,,,82,,82
10/10/21,,,,,,80,,80
10/09/21,,,,,,86,,86
10/08/21,,,,,,82,,82
10/07/21,,,,,,84,,84
10/06/21,,,,,,97,,97
10/05/21,,,,,,103,,103
10/04/21,,,,,,102,,102
10/03/21,,,,,,113,,113
10/02/21,,,,,,114,,114
10/01/21,,,,,,110,,110
09/30/21,,,,,,111,,111
09/29/21,,,,,,109,,109
09/28/21,,,,,,103,,103
09/27/21,,,,,,102,,102
09/26/21,,,,,,111,,111
09/25/21,,,,,,104,,104
09/24/21,,,,,,100,,100
09/23/21,,,,,,103,,103
09/22/21,,,,,,97,,97
09/21/21,,,,,,100,,100
09/20/21,,,,,,105,,105
09/19/21,,,,,,109,,109
09/18/21,,,,,,107,,107
09/17/21,,,,,,106,,106
09/16/21,,,,,,122,,122
09/15/21,,,,,,123,,123
09/14/21,,,,,,116,,116
09/13/21,,,,,,112,,112
09/12/21,,,,,,112,,112
09/11/21,,,,,,102,,102
09/10/21,,,,,,106,,106
09/09/21,,,,,,101,,101
09/08/21,,,,,,106,,106
09/07/21,,,,,,109,,109
09/06/21,,,,,,105,,105
09/05/21,,,,,,107,,107
09/04/21,,,,,,107,,107
09/03/21,,,,,,98,,98
09/02/21,,,,,,104,,104
09/01/21,,,,,,109,,109
08/31/21,,,,,,109,,109
08/30/21,,,,,,112,,112
08/29/21,,,,,,115,,115
08/28/21,,,,,,106,,106
08/27/21,,,,,,113,,113
08/26/21,,,,,,110,,110
08/25/21,,,,,,112,,112
08/24/21,,,,,,116,,116
08/23/21,,,,,,129,,129
08/22/21,,,,,,130,,130
08/21/21,,,,,,118,,118
08/20/21,,,,,,113,,113
08/19/21,,,,,,100,,100
08/18/21,,,,,,96,,96
08/17/21,,,,,,93,,93
08/16/21,,,,,,88,,88
08/15/21,,,,,,88,,88
08/14/21,,,,,,80,,80
08/13/21,,,,,,70,,70
08/12/21,,,,,,71,,71
08/11/21,,,,,,72,,72
08/10/21,,,,,,68,,68
08/09/21,,,,,,63,,63
08/08/21,,,,,,57,,57
08/07/21,,,,,,54,,54
08/06/21,,,,,,47,,47
08/05/21,,,,,,49,,49
08/04/21,,,,,,46,,46
08/03/21,,,,,,49,,49
08/02/21,,,,,,46,,46
08/01/21,,,,,,46,,46
07/31/21,,,,,,43,,43
07/30/21,,,,,,40,,40
07/29/21,,,,,,35,,35
07/28/21,,,,,,36,,36
07/27/21,,,,,,31,,31
07/26/21,,,,,,32,,32
07/25/21,,,,,,28,,28
07/24/21,,,,,,29,,29
07/23/21,,,,,,25,,25
07/22/21,,,,,,25,,25
07/21/21,,,,,,29,,29
07/20/21,,,,,,26,,26
07/19/21,,,,,,25,,25
07/18/21,,,,,,24,,24
07/17/21,,,,,,16,,16
07/16/21,,,,,,16,,16
07/15/21,,,,,,15,,15
07/14/21,,,,,,13,,13
07/13/21,,,,,,16,,16
07/12/21,,,,,,11,,11
07/11/21,,,,,,11,,11
07/10/21,,,,,,13,,13
07/09/21,,,,,,10,,10
07/08/21,,,,,,9,,9
07/07/21,,,,,,9,,9
07/06/21,,,,,,10,,10
07/05/21,,,,,,9,,9
07/04/21,,,,,,13,,13
07/03/21,,,,,,12,,12
07/02/21,,,,,,12,,12
07/01/21,,,,,,9,,9
06/30/21,,,,,,11,,11
06/29/21,,,,,,16,,16
06/28/21,,,,,,20,,20
06/27/21,,,,,,19,,19
06/26/21,,,,,,20,,20
06/25/21,,,,,,23,,23
06/24/21,,,,,,17,,17
06/23/21,,,,,,17,,17
06/22/21,,,,,,15,,15
06/21/21,,,,,,15,,15
06/20/21,,,,,,18,,18
06/19/21,,,,,,16,,16
06/18/21,,,,,,13,,13
06/17/21,,,,,,18,,18
06/16/21,,,,,,23,,23
06/15/21,,,,,,24,,24
06/14/21,,,,,,20,,20
06/13/21,,,,,,21,,21
06/12/21,,,,,,26,,26
06/11/21,,,,,,25,,25
06/10/21,,,,,,24,,24
06/09/21,,,,,,23,,23
06/08/21,,,,,,24,,24
06/07/21,,,,,,25,,25
06/06/21,,,,,,27,,27
06/05/21,,,,,,28,,28
06/04/21,,,,,,30,,30
06/03/21,,,,,,31,,31
06/02/21,,,,,,27,,27
06/01/21,,,,,,25,,25
05/31/21,,,,,,22,,22
05/30/21,,,,,,26,,26
05/29/21,,,,,,31,,31
05/28/21,,,,,,32,,32
05/27/21,,,,,,34,,34
05/26/21,,,,,,39,,39
05/25/21,,,,,,41,,41
05/24/21,,,,,,41,,41
05/23/21,,,,,,40,,40
05/22/21,,,,,,46,,46
05/21/21,,,,,,43,,43
05/20/21,,,,,,51,,51
05/19/21,,,,,,50,,50
05/18/21,,,,,,52,,52
05/17/21,,,,,,53,,53
05/16/21,,,,,,51,,51
05/15/21,,,,,,53,,53
05/14/21,,,,,,53,,53
05/13/21,,,,,,56,,56
05/12/21,,,,,,58,,58
05/11/21,,,,,,61,,61
05/10/21,,,,,,63,,63
05/09/21,,,,,,64,,64
05/08/21,,,,,,62,,62
05/07/21,,,,,,68,,68
05/06/21,,,,,,63,,63
05/05/21,,,,,,66,,66
05/04/21,,,,,,68,,68
05/03/21,,,,,,79,,79
05/02/21,,,,,,90,,90
05/01/21,,,,,,88,,88
04/30/21,,,,,,93,,93
04/29/21,,,,,,96,,96
04/28/21,,,,,,97,,97
04/27/21,,,,,,104,,104
04/26/21,,,,,,109,,109
04/25/21,,,,,,112,,112
04/24/21,,,,,,116,,116
04/23/21,,,,,,116,,116
04/22/21,,,,,,107,,107
04/21/21,,,,,,107,,107
04/20/21,,,,,,114,,114
04/19/21,,,,,,130,,130
04/18/21,,,,,,137,,137
04/17/21,,,,,,147,,147
04/16/21,,,,,,150,,150
04/15/21,,,,,,153,,153
04/14/21,,,,,,157,,157
04/13/21,,,,,,162,,162
04/12/21,,,,,,167,,167
04/11/21,,,,,,161,,161
04/10/21,,,,,,156,,156
04/09/21,,,,,,144,,144
04/08/21,,,,,,151,,151
04/07/21,,,,,,152,,152
04/06/21,,,,,,148,,148
04/05/21,,,,,,152,,152
04/04/21,,,,,,150,,150
04/03/21,,,,,,148,,148
04/02/21,,,,,,154,,154
04/01/21,,,,,,148,,148
03/31/21,,,,,,145,,145
03/30/21,,,,,,139,,139
03/29/21,,,,,,134,,134
03/28/21,,,,,,131,,131
03/27/21,,,,,,123,,123
03/26/21,,,,,,120,,120
03/25/21,,,,,,115,,115
03/24/21,,,,,,107,,107
03/23/21,,,,,,116,,116
03/22/21,,,,,,109,,109
03/21/21,,,,,,118,,118
03/20/21,,,,,,114,,114
03/19/21,,,,,,111,,111
03/18/21,,,,,,107,,107
03/17/21,,,,,,109,,109
03/16/21,,,,,,105,,105
03/15/21,,,,,,121,,121
03/14/21,,,,,,121,,121
03/13/21,,,,,,122,,122
03/12/21,,,,,,122,,122
03/11/21,,,,,,130,,130
03/10/21,,,,,,127,,127
03/09/21,,,,,,133,,133
03/08/21,,,,,,132,,132
03/07/21,,,,,,143,,143
03/06/21,,,,,,134,,134
03/05/21,,,,,,136,,136
03/04/21,,,,,,138,,138
03/03/21,,,,,,150,,150
03/02/21,,,,,,155,,155
03/01/21,,,,,,155,,155
02/28/21,,,,,,155,,155
02/27/21,,,,,,154,,154
02/26/21,,,,,,145,,145
02/25/21,,,,,,152,,152
02/24/21,,,,,,156,,156
02/23/21,,,,,,161,,161
02/22/21,,,,,,166,,166
02/21/21,,,,,,171,,171
02/20/21,,,,,,169,,169
02/19/21,,,,,,184,,184
02/18/21,,,,,,185,,185
02/17/21,,,,,,192,,192
02/16/21,,,,,,192,,192
02/15/21,,,,,,200,,200
02/14/21,,,,,,210,,210
02/13/21,,,,,,208,,208
02/12/21,,,,,,205,,205
02/11/21,,,,,,213,,213
02/10/21,,,,,,217,,217
02/09/21,,,,,,238,,238
02/08/21,,,,,,253,,253
02/07/21,,,,,,263,,263
02/06/21,,,,,,266,,266
02/05/21,,,,,,270,,270
02/04/21,,,,,,285,,285
02/03/21,,,,,,295,,295
02/02/21,,,,,,312,,312
02/01/21,,,,,,330,,330
01/31/21,,,,,,323,,323
01/30/21,,,,,,311,,311
01/29/21,,,,,,305,,305
01/28/21,,,,,,309,,309
01/27/21,,,,,,327,,327
01/26/21,,,,,,325,,325
01/25/21,,,,,,332,,332
01/24/21,,,,,,337,,337
01/23/21,,,,,,335,,335
01/22/21,,,,,,341,,341
01/21/21,,,,,,360,,360
01/20/21,,,,,,372,,372
01/19/21,,,,,,386,,386
01/18/21,,,,,,411,,411
01/17/21,,,,,,401,,401
01/16/21,,,,,,410,,410
01/15/21,,,,,,398,,398
01/14/21,,,,,,399,,399
01/13/21,,,,,,386,,386
01/12/21,,,,,,391,,391
01/11/21,,,,,,379,,379
01/10/21,,,,,,376,,376
01/09/21,,,,,,363,,363
01/08/21,,,,,,373,,373
01/07/21,,,,,,388,,388
01/06/21,,,,,,389,,389
01/05/21,,,,,,402,,402
01/04/21,,,,,,412,,412
01/03/21,,,,,,397,,397
01/02/21,,,,,,390,,390
01/01/21,,,,,,380,,380
12/31/20,,,,,,376,,376
12/30/20,,,,,,398,,398
12/29/20,,,,,,397,,397
12/28/20,,,,,,425,,425
12/27/20,,,,,,418,,418
12/26/20,,,,,,410,,410
12/25/20,,,,,,395,,395
12/24/20,,,,,,371,,371
12/23/20,,,,,,377,,377
12/22/20,,,,,,383,,383
12/21/20,,,,,,375,,375
12/20/20,,,,,,386,,386
12/19/20,,,,,,374,,374
12/18/20,,,,,,347,,347
12/17/20,,,,,,379,,379
12/16/20,,,,,,355,,355
12/15/20,,,,,,365,,365
12/14/20,,,,,,364,,364
12/13/20,,,,,,360,,360
12/12/20,,,,,,335,,335
12/11/20,,,,,,326,,326
12/10/20,,,,,,322,,322
12/09/20,,,,,,316,,316
12/08/20,,,,,,306,,306
12/07/20,,,,,,287,,287
12/06/20,,,,,,276,,276
12/05/20,,,,,,271,,271
12/04/20,,,,,,245,,245
12/03/20,,,,,,250,,250
12/02/20,,,,,,238,,238
12/01/20,,,,,,218,,218
11/30/20,,,,,,218,,218
11/29/20,,,,,,214,,214
11/28/20,,,,,,207,,207
11/27/20,,,,,,195,,195
11/26/20,,,,,,181,,181
11/25/20,,,,,,172,,172
11/24/20,,,,,,178,,178
11/23/20,,,,,,183,,183
11/22/20,,,,,,196,,196
11/21/20,,,,,,186,,186
11/20/20,,,,,,163,,163
11/19/20,,,,,,166,,166
11/18/20,,,,,,165,,165
11/17/20,,,,,,153,,153
11/16/20,,,,,,137,,137
11/15/20,,,,,,124,,124
11/14/20,,,,,,126,,126
11/13/20,,,,,,123,,123
11/12/20,,,,,,128,,128
11/11/20,,,,,,122,,122
11/10/20,,,,,,122,,122
11/09/20,,,,,,126,,126
11/08/20,,,,,,127,,127
11/07/20,,,,,,121,,121
11/06/20,,,,,,116,,116
11/05/20,,,,,,107,,107
11/04/20,,,,,,104,,104
11/03/20,,,,,,99,,99
11/02/20,,,,,,103,,103
11/01/20,,,,,,100,,100
10/31/20,,,,,,91,,91
10/30/20,,,,,,87,,87
10/29/20,,,,,,87,,87
10/28/20,,,,,,84,,84
10/27/20,,,,,,76,,76
10/26/20,,,,,,69,,69
10/25/20,,,,,,71,,71
10/24/20,,,,,,68,,68
10/23/20,,,,,,70,,70
10/22/20,,,,,,71,,71
10/21/20,,,,,,81,,81
10/20/20,,,,,,79,,79
10/19/20,,,,,,70,,70
10/18/20,,,,,,72,,72
10/17/20,,,,,,74,,74
10/16/20,,,,,,68,,68
10/15/20,,,,,,66,,66
10/14/20,,,,,,65,,65
10/13/20,,,,,,68,,68
10/12/20,,,,,,65,,65
10/11/20,,,,,,71,,71
10/10/20,,,,,,74,,74
10/09/20,,,,,,70,,70
10/08/20,,,,,,69,,69
10/07/20,,,,,,64,,64
10/06/20,,,,,,60,,60
10/05/20,,,,,,61,,61
10/04/20,,,,,,60,,60
10/03/20,,,,,,56,,56
10/02/20,,,,,,52,,52
10/01/20,,,,,,53,,53
09/30/20,,,,,,46,,46
09/29/20,,,,,,44,,44
09/28/20,,,,,,48,,48
09/27/20,,,,,,53,,53
09/26/20,,,,,,49,,49
09/25/20,,,,,,48,,48
09/24/20,,,,,,46,,46
09/23/20,,,,,,44,,44
09/22/20,,,,,,44,,44
09/21/20,,,,,,41,,41
09/20/20,,,,,,40,,40
09/19/20,,,,,,36,,36
09/18/20,,,,,,35,,35
09/17/20,,,,,,29,,29
09/16/20,,,,,,27,,27
09/15/20,,,,,,32,,32
09/14/20,,,,,,32,,32
09/13/20,,,,,,36,,36
09/12/20,,,,,,33,,33
09/11/20,,,,,,33,,33
09/10/20,,,,,,35,,35
